"Code","Class","Order","Suborder","Family","Subfamily","Genus","Species","SpeciesEpithet","Clutter","Clutter_Edge","Open"
"YIN050001001","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Asellia","italosomalica","Asellia_italosomalica",NA,NA,NA
"YIN050001002","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Asellia","patrizii","Asellia_patrizii",NA,NA,NA
"YIN050001003","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Asellia","tridens","Asellia_tridens",NA,NA,NA
"YIN050002001","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Doryrhina","camerunensis","Doryrhina_camerunensis",NA,NA,NA
"YIN050002002","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Doryrhina","cyclops","Doryrhina_cyclops",NA,NA,NA
"YIN050003001","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Macronycteris","commersoni","Macronycteris_commersonii",NA,NA,NA
"YIN050003002","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Macronycteris","cryptovalorona","Macronycteris_cryptovalorona",NA,NA,NA
"YIN050003003","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Macronycteris","gigas","Macronycteris_gigas",NA,NA,NA
"YIN050003004","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Macronycteris","thomensis","Macronycteris_thomensis",NA,NA,NA
"YIN050003005","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Macronycteris","vittatus","Macronycteris_vittatus",NA,NA,NA
"YIN050004001","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Hipposideros","megalotis","Hipposideros_megalotis",NA,NA,NA
"YIN050004002","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Hipposideros","curtus","Hipposideros_curtus",NA,NA,NA
"YIN050004003","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Hipposideros","jonesi","Hipposideros_jonesi",NA,NA,NA
"YIN050004004","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Hipposideros","marisae","Hipposideros_marisae",NA,NA,NA
"YIN050004005","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Hipposideros","abae","Hipposideros_abae",NA,NA,NA
"YIN050004006","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Hipposideros","beatus","Hipposideros_beatus",2,NA,NA
"YIN050004007","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Hipposideros","caffer","Hipposideros_caffer",2,0,0
"YIN050004008","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Hipposideros","fuliginosus","Hipposideros_fuliginosus",2,0,0
"YIN050004009","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Hipposideros","lamottei","Hipposideros_lamottei",NA,NA,NA
"YIN050004010","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Hipposideros","ruber","Hipposideros_ruber",2,0,0
"YIN050004011","Mammalia","Chiroptera","Yinpterochiroptera","Hipposideridae",NA,"Hipposideros","tephrus","Hipposideros_tephrus",NA,NA,NA
"YIN060001001","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","adami","Rhinolophus_adami",NA,NA,NA
"YIN060001002","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","maendeleo","Rhinolophus_maendeleo",NA,NA,NA
"YIN060001003","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","alcyone","Rhinolophus_alcyone",NA,NA,NA
"YIN060001004","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","landeri","Rhinolophus_landeri",2,0,0
"YIN060001005","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","guineensis","Rhinolophus_guineensis",NA,NA,NA
"YIN060001006","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","blasii","Rhinolophus_blasii",2,2,1
"YIN060001007","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","lobatus","Rhinolophus_lobatus",2,0,0
"YIN060001008","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","swinnyi","Rhinolophus_swinnyi",2,0,0
"YIN060001009","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","capensis","Rhinolophus_capensis",2,0,0
"YIN060001010","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","gorongosae","Rhinolophus_gorongosae",NA,NA,NA
"YIN060001011","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","rhodesiae","Rhinolophus_rhodesiae",2,0,0
"YIN060001012","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","simulator","Rhinolophus_simulator",2,0,0
"YIN060001013","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","denti","Rhinolophus_denti",2,0,0
"YIN060001014","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","alticolus","Rhinolophus alticolus",NA,NA,NA
"YIN060001015","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","mehelyi","Rhinolophus_mehelyi",2,0,0
"YIN060001016","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","euryale","Rhinolophus_euryale",NA,NA,NA
"YIN060001017","Mammalia","Chiroptera","Yinpterochiroptera","Rhinolophidae",NA,"Rhinolophus","hildebrandtii","Rhinolophus_hildebrandtii",2,1,0
