"Code","Class","Order","Suborder","Family","Subfamily","Genus","Species","SpeciesEpithet","Blattodea.ord","Blattodea.Blaberidae","Blattodea.Blattidae","Blattodea.Cryptocercidae","Blattodea.Termitidae","Coleoptera.ord","Coleoptera.Carabidae","Coleoptera.Cerambycidae","Coleoptera.Cetoniidae","Coleoptera.Chrysomelidae","Coleoptera.Curculionidae","Coleoptera.Dytiscidae","Coleoptera.Lagriidae","Coleoptera.Scarabaeidae","Coleoptera.Staphylinidae","Coleoptera.Tenebrionidae","Dermaptera.ord","Diptera.ord","Diptera.Anisopodidae","Diptera.Ceratopogonidae","Diptera.Chironomidae","Diptera.Chloropidae","Diptera.Culicidae","Diptera.Hippoboscidae","Diptera.Muscidae","Diptera..Simuliidae","Diptera.Sphaeroceridae","Diptera.Tipulidae","Ephemeroptera.ord","Hemiptera.ord","Hemiptera.Cercopidae","Hemiptera.Cicadellidae","Hemiptera.Cicadidae","Hemiptera.Fulgoridae","Hemiptera.Margarodidae","Hemiptera.Pentatomidae","Hemiptera.Polyctenidae","Hymenoptera.ord","Hymenoptera.Formicidae","Isoptera.ord","Lepidoptera.ord","Lepidoptera.Castniidae","Lepidoptera.Crambidae","Lepidoptera.Elachistidae","Lepidoptera.Erebidae","Lepidoptera.Euteliidae","Lepidoptera.Geometridae","Lepidoptera.Hesperiidae","Lepidoptera.Hyblaeidae","Lepidoptera.Lasiocampidae","Lepidoptera.Limacodidae","Lepidoptera.Noctuidae","Lepidoptera.Nolidae","Lepidoptera.Notodontidae","Lepidoptera.Pyralidae","Lepidoptera.Saturniidae","Lepidoptera.Sphingidae","Lepidoptera.Tortricidae","Mantodea.ord","Mantodea.Mantidae","Neuroptera.ord","Neuroptera.Ascalaphidae","Neuroptera.Chrysopidae","Neuroptera.Mantispidae","Neuroptera.Myrmeleontidae","Odonata.ord","Orthoptera.ord","Orthoptera.Acrididae","Orthoptera.Gryllacrididae","Orthoptera.Gryllidae","Orthoptera.Tettigoniidae","Orthoptera.Tridactylidae","Psocodea.ord","Siphonaptera.ord","Trichoptera.ord"
"YIN010110002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomops","buettikoferi","Epomops_buettikoferi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010111001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Nanonycteris","veldkampii","Nanonycteris_veldkampii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010112001","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","gambianus","Epomophorus_gambianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010112002","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","crypturus","Epomophorus_crypturus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010112003","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","angolensis","Epomophorus_angolensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010112004","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","labiatus","Epomophorus_labiatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010112005","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","minor","Epomophorus_minor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010112006","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","anselli","Epomophorus_anselli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIN010112007","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","wahlbergi","Epomophorus_wahlbergi",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YIN010112008","Mammalia","Chiroptera","Yinpterochiroptera","Pteropodidae","Rousettinae","Epomophorus","dobsonii","Epomophorus_dobsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
