class,order,family,genus,species,taxon_name,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_n_or_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d,dataset
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,1,1.5,80,7.8,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"de Magalhaes and Costa, 2009"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,NA,NA,7.733333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weigl, R., 2005"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Tacutu, R., T. Craig, A. Budovsky et al. 2013"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Tacutu, R., T. Craig, A. Budovsky et al. 2013"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Tacutu, R., T. Craig, A. Budovsky et al. 2013"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Tacutu, R., T. Craig, A. Budovsky et al. 2013"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Tacutu, R., T. Craig, A. Budovsky et al. 2013"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Tacutu, R., T. Craig, A. Budovsky et al. 2013"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,NA,NA,NA,121.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,NA,NA,NA,NA,182.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,-999,Peters's Epauletted Fruit Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,0.98,2,134.59,NA,156.43,59.99,9.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.941,NA,NA,6.132,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,1,1.5,80,7.8,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"de Magalhaes and Costa, 2009"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,NA,NA,7.733333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weigl, R., 2005"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Tacutu, R., T. Craig, A. Budovsky et al. 2013"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Tacutu, R., T. Craig, A. Budovsky et al. 2013"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Tacutu, R., T. Craig, A. Budovsky et al. 2013"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Tacutu, R., T. Craig, A. Budovsky et al. 2013"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Tacutu, R., T. Craig, A. Budovsky et al. 2013"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Tacutu, R., T. Craig, A. Budovsky et al. 2013"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,NA,NA,NA,121.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,NA,NA,NA,NA,182.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,gambianus,Epomophorus gambianus,-999,Gambian Epauletted Fruit Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,grandis,Epomophorus grandis,-999,Sanborn's Epauletted Fruit Bat,NA,NA,NA,49.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.596,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,grandis,Epomophorus grandis,-999,Sanborn's Epauletted Fruit Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,labiatus,Epomophorus labiatus,-999,Little Epauletted Fruit Bat,NA,0.99,2,69.65,NA,156.43,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.433,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,minor,Epomophorus minor,-999,Minor Epauletted Fruit Bat,NA,0.99,2,69.65,NA,156.43,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.433,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,minor,Epomophorus minor,-999,Minor Epauletted Fruit Bat,NA,NA,NA,44.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,-999,Wahlberg's Epauletted Fruit Bat,NA,0.99,2,93.59,NA,156.43,668.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.169,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,-999,Wahlberg's Epauletted Fruit Bat,NA,1,NA,80,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"de Magalhaes and Costa, 2009"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,-999,Wahlberg's Epauletted Fruit Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acharya, L., 1992"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,-999,Wahlberg's Epauletted Fruit Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acharya, L., 1992"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,-999,Wahlberg's Epauletted Fruit Bat,243.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acharya, L., 1992"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,-999,Wahlberg's Epauletted Fruit Bat,NA,NA,NA,NA,NA,152.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acharya, L., 1992"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,-999,Wahlberg's Epauletted Fruit Bat,NA,NA,NA,NA,NA,182.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acharya, L., 1992"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,-999,Wahlberg's Epauletted Fruit Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acharya, L., 1992"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,-999,Wahlberg's Epauletted Fruit Bat,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acharya, L., 1992"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,-999,Wahlberg's Epauletted Fruit Bat,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acharya, L., 1992"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,-999,Wahlberg's Epauletted Fruit Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acharya, L., 1992"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,-999,Wahlberg's Epauletted Fruit Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acharya, L., 1992"
Mammalia,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,-999,Wahlberg's Epauletted Fruit Bat,NA,NA,NA,NA,10.06666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weigl, R., 2005"
Mammalia,Chiroptera,Pteropodidae,Epomops,buettikoferi,Epomops buettikoferi,-999,Buettikofer's Epauletted Fruit Bat,275.89,0.98,2,135.67,NA,139.92,55.65,23.23,47.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Pteropodidae,Epomops,buettikoferi,Epomops buettikoferi,-999,Buettikofer's Epauletted Fruit Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomops,buettikoferi,Epomops buettikoferi,-999,Buettikofer's Epauletted Fruit Bat,NA,NA,NA,NA,2.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weigl, R., 2005"
Mammalia,Chiroptera,Pteropodidae,Epomops,dobsonii,Epomops dobsonii,-999,Dobson's Epauletted Fruit Bat,NA,NA,NA,122.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Pteropodidae,Epomops,franqueti,Epomops franqueti,-999,Franquet's Epauletted Fruit<b> </b>Bat,NA,1,2,118.99,NA,161.77,NA,20,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.503,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Pteropodidae,Epomops,franqueti,Epomops franqueti,-999,Franquet's Epauletted Fruit<b> </b>Bat,NA,NA,NA,NA,3.158333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weigl, R., 2005"
Mammalia,Chiroptera,Pteropodidae,Epomops,franqueti,Epomops franqueti,-999,Franquet's Epauletted Fruit<b> </b>Bat,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomops,franqueti,Epomops franqueti,-999,Franquet's Epauletted Fruit<b> </b>Bat,NA,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomops,franqueti,Epomops franqueti,-999,Franquet's Epauletted Fruit<b> </b>Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomops,franqueti,Epomops franqueti,-999,Franquet's Epauletted Fruit<b> </b>Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomops,franqueti,Epomops franqueti,-999,Franquet's Epauletted Fruit<b> </b>Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Epomops,franqueti,Epomops franqueti,-999,Franquet's Epauletted Fruit<b> </b>Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Haplonycteris,fischeri,Haplonycteris fischeri,-999,Philippine Pygmy Fruit Bat,192.91,1,1,18.25,10,174.73,76.04,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.441,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Pteropodidae,Haplonycteris,fischeri,Haplonycteris fischeri,-999,Philippine Pygmy Fruit Bat,120,1,NA,18,10,90,70,NA,NA,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"de Magalhaes and Costa, 2009"
Mammalia,Chiroptera,Pteropodidae,Haplonycteris,fischeri,Haplonycteris fischeri,-999,Philippine Pygmy Fruit Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.53,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Pteropodidae,Haplonycteris,fischeri,Haplonycteris fischeri,-999,Philippine Pygmy Fruit Bat,NA,NA,NA,NA,1.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weigl, R., 2005"
Mammalia,Chiroptera,Pteropodidae,Harpyionycteris,celebensis,Harpyionycteris celebensis,-999,Sulawesi Harpy Fruit Bat,NA,0.98,NA,116.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.416,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Pteropodidae,Harpyionycteris,celebensis,Harpyionycteris celebensis,-999,Sulawesi Harpy Fruit Bat,232.26,1,2,135.48,NA,132.74,111.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.215,NA,NA,NA,NA,NA,NA,NA,"Jones, K., Bielby, J., Cardillo, M. et al., 2009"
Mammalia,Chiroptera,Pteropodidae,Harpyionycteris,celebensis,Harpyionycteris celebensis,-999,Sulawesi Harpy Fruit Bat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,NA,NA,"Boback and Guyer, 2003"
Mammalia,Chiroptera,Pteropodidae,Harpyionycteris,celebensis,Harpyionycteris celebensis,-999,Sulawesi Harpy Fruit Bat,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Harpyionycteris,celebensis,Harpyionycteris celebensis,-999,Sulawesi Harpy Fruit Bat,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Harpyionycteris,celebensis,Harpyionycteris celebensis,-999,Sulawesi Harpy Fruit Bat,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
Mammalia,Chiroptera,Pteropodidae,Harpyionycteris,celebensis,Harpyionycteris celebensis,-999,Sulawesi Harpy Fruit Bat,NA,NA,NA,NA,NA,121.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC mammals - Wilson, 2003"
