Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,taxon_name,Terrestrial,Marine,Freshwater,Aerial,Life.Habit.Method,Life.Habit.Source,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,Island.Endemicity,IUCN.Status.1.2,Added.IUCN.Status.1.2,Diet.Plant,Diet.Vertebrate,Diet.Invertebrate,Diet.Method,Diet.Source
Rousettus_bidens,Chiroptera,Pteropodidae,Rousettus,bidens,Rousettus bidens,0,0,0,1,Taxonomic,PHYLACINE 1.2,171,Reported,Zoologische Verhandelingen 248: 1-14 (1988),NA,NA,Occurs only on isolated islands,VU,No,100,0,0,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Rousettus_celebensis,Chiroptera,Pteropodidae,Rousettus,celebensis,Rousettus celebensis,0,0,0,1,Taxonomic,PHYLACINE 1.2,56.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Rousettus_lanosus,Chiroptera,Pteropodidae,Rousettus,lanosus,Rousettus lanosus,0,0,0,1,Taxonomic,PHYLACINE 1.2,103,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Rousettus_leschenaultii,Chiroptera,Pteropodidae,Rousettus,leschenaultii,Rousettus leschenaultii,0,0,0,1,Taxonomic,PHYLACINE 1.2,97.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Rousettus_linduensis,Chiroptera,Pteropodidae,Rousettus,linduensis,Rousettus linduensis,0,0,0,1,Taxonomic,PHYLACINE 1.2,90.8,Reported,Mammal study 28: 111-120 (2003),NA,NA,Occurs only on isolated islands,DD,No,100,0,0,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Rousettus_madagascariensis,Chiroptera,Pteropodidae,Rousettus,madagascariensis,Rousettus madagascariensis,0,0,0,1,Taxonomic,PHYLACINE 1.2,62.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,NT,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Rousettus_obliviosus,Chiroptera,Pteropodidae,Rousettus,obliviosus,Rousettus obliviosus,0,0,0,1,Taxonomic,PHYLACINE 1.2,44.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs only on isolated islands,VU,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Rousettus_spinalatus,Chiroptera,Pteropodidae,Rousettus,spinalatus,Rousettus spinalatus,0,0,0,1,Taxonomic,PHYLACINE 1.2,90.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on large land bridge islands,VU,No,100,0,0,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Saccolaimus_flaviventris,Chiroptera,Emballonuridae,Saccolaimus,flaviventris,Saccolaimus flaviventris,0,0,0,1,Taxonomic,PHYLACINE 1.2,42.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Saccolaimus_mixtus,Chiroptera,Emballonuridae,Saccolaimus,mixtus,Saccolaimus mixtus,0,0,0,1,Taxonomic,PHYLACINE 1.2,23,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,DD,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Saccolaimus_peli,Chiroptera,Emballonuridae,Saccolaimus,peli,Saccolaimus peli,0,0,0,1,Taxonomic,PHYLACINE 1.2,100,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Saccolaimus_saccolaimus,Chiroptera,Emballonuridae,Saccolaimus,saccolaimus,Saccolaimus saccolaimus,0,0,0,1,Taxonomic,PHYLACINE 1.2,41.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
Saccopteryx_antioquensis,Chiroptera,Emballonuridae,Saccopteryx,antioquensis,Saccopteryx antioquensis,0,0,0,1,Taxonomic,PHYLACINE 1.2,5,Reported,Actualidades Biologicas 75:53-61 (2001),NA,NA,Occurs on mainland,EN,No,0,0,100,Transformed 000 Genus,"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930."
Saccopteryx_bilineata,Chiroptera,Emballonuridae,Saccopteryx,bilineata,Saccopteryx bilineata,0,0,0,1,Taxonomic,PHYLACINE 1.2,7.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Occurs on mainland,LC,No,0,0,100,Reported 000 Species,"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027."
