Code,Class,Order,Suborder,Family,Subfamily,Genus,Species,SpeciesEpithet,HR_mean,Dispersal_Dist_mean,HeadBody_Length_mean,Tail_Length_mean,Forearm_Length_mean,Hindfoot_Length_mean,Length_tot_mean,Wing_Length_mean,Wing_Area_mean,Wingspan_mean,W_aspect_ratio_mean,W_loading_mean,BodyMass_mean,SexMaturity_Age_mean,HR_min,HeadBody_Length_min,Tail_Length_min,Forearm_Length_min,Hindfoot_Length_min,Length_tot_min,Wing_Length_min,Wing_Area_min,Wingspan_min,W_aspect_ratio_min,W_loading_min,BodyMass_min,SexMaturity_Age_min,HR_max,Dispersal_Dist_max,HeadBody_Length_max,Tail_Length_max,Forearm_Length_max,Hindfoot_Length_max,Length_tot_max,Wing_Length_max,Wing_Area_max,Wingspan_max,W_aspect_ratio_max,W_loading_max,BodyMass_max,SexMaturity_Age_max,sex
YIN040001002,Mammalia,Chiroptera,Yinpterochiroptera,Rhinonycteridae,NA,Triaenops,menamena,Triaenops menamena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN040002001,Mammalia,Chiroptera,Yinpterochiroptera,Rhinonycteridae,NA,Cloeotis,percivali,Cloeotis percivali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN040003001,Mammalia,Chiroptera,Yinpterochiroptera,Rhinonycteridae,NA,Paratriaenops,auritus,Paratriaenops auritus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN040003002,Mammalia,Chiroptera,Yinpterochiroptera,Rhinonycteridae,NA,Paratriaenops,furculus,Paratriaenops furcula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN040003003,Mammalia,Chiroptera,Yinpterochiroptera,Rhinonycteridae,NA,Paratriaenops,pauliani,Paratriaenops pauliani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN050001001,Mammalia,Chiroptera,Yinpterochiroptera,Hipposideridae,NA,Asellia,italosomalica,Asellia italosomalica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN050001002,Mammalia,Chiroptera,Yinpterochiroptera,Hipposideridae,NA,Asellia,patrizii,Asellia patrizii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN050001003,Mammalia,Chiroptera,Yinpterochiroptera,Hipposideridae,NA,Asellia,tridens,Asellia tridens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN050002001,Mammalia,Chiroptera,Yinpterochiroptera,Hipposideridae,NA,Doryrhina,camerunensis,Doryrhina camerunensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,male
YIN050002002,Mammalia,Chiroptera,Yinpterochiroptera,Hipposideridae,NA,Doryrhina,cyclops,Doryrhina cyclops,NA,NA,NA,NA,NA,NA,109.6,NA,NA,NA,NA,NA,29.2,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,40,NA,male
